year,author,author
2007,Ann Cooper,1
2007,Bernie Dunlap,1
2007,Bill Clinton,1
2007,Bill Stone,1
2007,Blaise Agüera y Arcas,1
2007,Brewster Kahle,1
2007,Caleb Chung,1
2007,Carolyn Porco,1
2007,Chris Abani,1
2007,Corneille Ewango,1
2007,Daniel Goleman,1
2007,David Bolinsky,1
2007,David Gallo,1
2007,David Hoffman,1
2007,David Keith,1
2007,David Pogue,1
2007,David S. Rose,1
2007,Dean Kamen,1
2007,Deborah Scranton,1
2007,E.O. Wilson,1
2007,Eames Demetrios,1
2007,Eleni Gabre-Madhin,1
2007,Emily Oster,1
2007,Erin McKean,1
2007,Ernest Madu,1
2007,Euvin Naidoo,1
2007,Franco Sacchi,1
2007,George Ayittey,1
2007,Gever Tulley,1
2007,Hans Rosling,1
2007,Hector Ruiz,1
2007,Hod Lipson,1
2007,Ian Dunbar,1
2007,Isabel Allende,1
2007,J.J. Abrams,1
2007,Jacqueline Novogratz,1
2007,Jaime Lerner,1
2007,Jakob Trollback,1
2007,James Nachtwey,1
2007,James Randi,1
2007,Jan Chipchase,1
2007,Jane Goodall,1
2007,Jeff Skoll,1
2007,Jill Sobule + Julia Sweeney,1
2007,John Doerr,1
2007,John Maeda,1
2007,John Q. Walker,1
2007,Jok Church,1
2007,Jonathan Drori,1
2007,Joseph Lekuton,1
2007,Juan Enriquez,1
2007,Katherine Fulton,1
2007,Kenichi Ebina,1
2007,Kevin Kelly,1
2007,Kwabena Boahen,1
2007,Lakshmi Pratury,1
2007,Larry Brilliant,1
2007,Laurie Garrett,1
2007,Lawrence Lessig,1
2007,Liz Diller,1
2007,Maira Kalman,1
2007,Marisa Fick-Jordan,1
2007,Mark Bittman,1
2007,Michael Pollan,1
2007,Nathan Myhrvold,1
2007,Newton Aduaka,1
2007,Nicholas Negroponte,1
2007,Nick Sears,1
2007,Norman Foster,1
2007,Ory Okolloh,1
2007,Patrick Awuah,1
2007,Paul Ewald,1
2007,Paul Rothemund,1
2007,Peter Hirshberg,1
2007,Philippe Starck,1
2007,Randy Pausch,1
2007,Richard Branson,1
2007,Rick Smolan,1
