author,count
Luvvie Ajayi Jones,2
Amory Lovins,2
Hugh Herr,2
Michael Metcalfe,2
Robert Thurman,2
Uldus Bakhtiozina,2
Eli Pariser,2
Lucas Husted,2
Noah Wilson-Rich,2
Jay Walker,2
Jack Dangermond,2
Kaki King,2
Rainn Wilson,2
Ed Boyden,2
Dennis Hong,2
Amanda Gorman,2
Tristan Harris,2
Eugenia Cheng,2
Julia Dhar,2
Achim Steiner,2
Alison Killing,2
David Lang,2
Kaitlyn Sadtler,2
Renny Gleeson,2
Majora Carter,2
Michael Bierut,2
Sangu Delle,2
Meg Jay,2
Van Jones,2
Kim Gorgens,2
Michael Shermer,2
William Kamkwamba,2
Emma Marris,2
Wendy Woods,2
John Lloyd,2
Anne F. Broadbridge,2
Emily Levine,2
Shohini Ghose,2
Erin McKean,2
Anthony Atala,2
Jon Gray,2
Murray Gell-Mann,2
Gayle Tzemach Lemmon,2
Liz Diller,2
Tim Exile,2
Jamil Zaki,2
Elon Musk,2
Ashraf Ghani,2
Bruce Feiler,2
Jon Ronson,2
Dambisa Moyo,2
Stephen Petranek,2
David Rockwell,2
Hyunsoo Joshua No,2
Shimon Schocken,2
Vijay Kumar,2
Allan Adams,2
Lesley Hazleton,2
Mary Lou Jepsen,2
Kate Slabosky,2
Chris Abani,2
Renzo Vitale,2
Nina Tandon,2
Anil Seth,2
Glenn Cantave,2
Lee Cronin,2
Leticia Gasca,2
Gordon Brown,2
Steven Levitt,2
Julia Bacha,2
Eric Lewis,2
ZigZag,2
Yvonne Aki-Sawyerr,2
Sarthak Sinha,2
Nathan Wolfe,2
Dr. Phillip Atiba Goff,2
Marcus du Sautoy,2
Jared Diamond,2
Edward Burtynsky,2
Patrick Chappatte,2
David Kelley,2
Climate Action Tracker,2
Ray Laurence,2
Carl Honoré,2
Simon Anholt,2
Rabbi Lord Jonathan Sacks,2
Hannah Fry,2
Jennifer 8. Lee,2
Jarrett J. Krosoczka,2
Scott Williams,2
Stephen Wilkes,2
Chris Fisher,2
Aparna Rao,2
Melinda Gates,2
Christian Moro,2
Andrew McAfee,2
E.O. Wilson,2
Wael Ghonim,2
Manu Prakash,2
George Dyson,2
Natsai Audrey Chieza,2
Uri Alon,2
Raffaello D'Andrea,2
Kate Stone,2
Nicholas Christakis,2
Billy Collins,2
Gary Liu,2
Jack Horner,2
Chad Orzel,2
John Bidden,2
Frans de Waal,2
David Epstein,2
Charles Limb,2
Brian Christian,2
Moshe Safdie,2
Rebecca Onie,2
Anthony D. Romero,2
Ming Luke,2
Brian Greene,2
Chris A. Kniesly,2
Paul Romer,2
Stephen Trzeciak,2
Bill Schutt,2
Casey Gerald,2
 OK Go,2
Naomi Klein,2
Sheryl Sandberg,2
Lucy Hone,2
David Lunney,2
Edward Tenner,2
Sleepy Man Banjo Boys,2
Yana Buhrer Tavanier,2
George Zaidan and Charles Morton,2
Dan Barber,2
Alain de Botton,2
LaToya Ruby Frazier,2
Keller Rinaudo,2
ShaoLan,2
Joshua Prince-Ramus,2
Isaac Mizrahi,2
Ben Goldacre,2
David Gruber,2
George Monbiot,2
Johanna Blakley,2
Julian Burschka,2
Dalia Mogahed,2
Chieh Huang,2
Dan Pallotta,2
TED Audio Collective,2
Melissa Fleming,2
Steve Brown,2
Priya Parker,2
Madhumita Murgia,2
Chimamanda Ngozi Adichie,2
Alexander Betts,2
Angel Hsu,2
Rose George,2
Mandy Len Catron,2
Paul Bloom,2
Ayanna Howard,2
Harald Haas,2
Geoff Mulgan,2
Sal Khan,2
Charmian Gooch,2
Diego Prilusky,2
Karen Lloyd,2
Jessica Green,2
Paul MacCready,2
Jacob Collier,2
David Hoffman,2
eL Seed,2
César Hidalgo,2
Lauren Sallan,2
Céline Valéry,2
Graham Hill,2
Cella Wright,2
James Logan,2
Honor Harger,2
Damon Horowitz,2
Jean-Baptiste P. Koehl,2
Sophie Scott,2
Kristen Marhaver,2
Murat Dalkilinç,2
James Nachtwey,2
Terry Moore,2
